Serial Number,Keyword,Company name,Category,Location,Address,City,State,Pincode,Country,Phone,Website,Rating,Review Count,Latitude,Longitude,Description,Maplink,googleUrl,contact_person,Designation,contact_person_mobile,Email1,Email2,Card_scan_url,Linkedin,Facebook,Instagram
1,School,My Chhota School- Agartala,Pre-school,Agartala,"Circuit House, Kunjaban",Agartala,Tripura,799006,India,9.18E+11,http://www.mychhotaschool.com/,4.8,72,,,,,"https://www.google.com/localservices/prolist?spp=Cg0vZy8xMXExbGxfeHFn&quot;,&quot;%22My+Chhota+School-+Agartala%22&quot;,&quot;%22My+Chhota+School-+Agartala%22&quot;,%5B64,1%5D%5D&src=1",,,,,,,,,
2,School,Umakanta Academy (English Medium),School,Agartala,"R7JF H8X, Akhaura Rd, Battala",Agartala,Tripura,799001,India,9.19E+11,,4.5,178,,,,,"https://www.google.com/localservices/prolist?spp=CgwvZy8xMjR5Zm1ndjU%3D&quot;,&quot;%22Umakanta+Academy+(English+Medium)%22&quot;,&quot;%22Umakanta+Academy+(English+Medium)%22&quot;,%5B64,1%5D%5D&src=1",,,,,,,,,
3,School,MONTESSORI INTERNATIONAL SCHOOL,Pre-school,Agartala,"Chandra Bari Ln, near Swarup Biye, Dhaleswar",Agartala,Tripura,799007,India,9.18E+11,,5,51,,,,,"https://www.google.com/localservices/prolist?spp=Cg0vZy8xMXkyODM2Mjdt&quot;,&quot;%22MONTESSORI+INTERNATIONAL+SCHOOL%22&quot;,&quot;%22MONTESSORI+INTERNATIONAL+SCHOOL%22&quot;,%5B64,1%5D%5D&src=1",,,,,,,,,
4,School,"St. Paul's School, Agartala",General education school,Agartala,"National Institute of Technology Agartala, Central Digital Library, Arundhauti Nagar, Paschim Barjalai",Agartala,Tripura,799046,India,,http://www.spsagartala.ac.in/,,0,,,,,"https://www.google.com/localservices/prolist?spp=Cg0vZy8xMWJ3ZG5maHM5&quot;,&quot;%22St.+Paul's+School&quot;,&quot;%22St.+Paul's+School&quot;,%5B64,1%5D%5D&src=1",,,,,,,,,
5,School,MONTFORT SCHOOL AGARTALA,Secondary School,Agartala,Ranirkhamar Road,Agartala,Tripura,799003,India,9.18E+11,http://www.montfortagt.in/,,0,,,,,"https://www.google.com/localservices/prolist?spp=Cg0vZy8xMWc3X2s4NHF2&quot;,&quot;%22MONTFORT+SCHOOL+AGARTALA%22&quot;,&quot;%22MONTFORT+SCHOOL+AGARTALA%22&quot;,%5B64,1%5D%5D&src=1",,,,,,,,,
6,School,Swami Dhananjoydas Kathiababa Mission School,School,Agartala,"V7MG MRV, Patunagar Rd, Durjaynagar",Agartala,Tripura,799009,India,9.14E+11,http://sddkmissionschool.net/,4.4,94,,,,,"https://www.google.com/localservices/prolist?spp=Cg0vZy8xMWMxeWY1M2M2&quot;,&quot;%22Swami+Dhananjoydas+Kathiababa+Mission+School%22&quot;,&quot;%22Swami+Dhananjoydas+Kathiababa+Mission+School%22&quot;,%5B64,1%5D%5D&src=1",,,,,,,,,
7,School,Holy Cross School,Secondary school,Agartala,"Holy cross, opposite Durjoynagar, Durjaynagar",Agartala,Tripura,799009,India,9.18E+11,http://www.holycrossschoolagartala.in/,,0,,,,,"https://www.google.com/localservices/prolist?spp=CgkvbS8wYmdjN18%3D&quot;,&quot;%22Holy+Cross+School%22&quot;,&quot;%22Holy+Cross+School%22&quot;,%5B64,1%5D%5D&src=1",,,,,,,,,
8,School,The Agartala International School,International school,Agartala,"East Chanmari, PO, Kunjaban",Agartala,Tripura,799006,India,9.19E+11,http://www.theagartalainternationalschool.in/,,0,,,,,"https://www.google.com/localservices/prolist?spp=CgsvZy8xdGo4N3N3OA%3D%3D&quot;,&quot;%22The+Agartala+International+School%22&quot;,&quot;%22The+Agartala+International+School%22&quot;,%5B64,1%5D%5D&src=1",,,,,,,,,
9,School,"Little Millennium Preschool - Agartala, Madhya Badharghat",Pre-school,Agartala,"House No 451810, Northside of Ramthakur College, Madya, Badharghat",Agartala,Tripura,799003,India,9.18E+11,https://preschool.littlemillennium.com/little-millennium/preschool-in-agartala/preschool-in-madhya-badharghat/little-millennium-preschool-in-madhya-badharghat-agartala--a8d84130-b7c2-46c7-8f0c-d8d2be8f8bf8/home,4.8,308,,,,,"https://www.google.com/localservices/prolist?spp=Cg0vZy8xMWZweWQzMzl2&quot;,&quot;%22Little+Millennium+Preschool+-+Agartala&quot;,&quot;%22Little+Millennium+Preschool+-+Agartala&quot;,%5B64,1%5D%5D&src=1",,,,,,,,,
10,School,Shishu Bihar Higher Secondary School,Higher secondary school,Agartala,"Minister Quarter Ln, Krishna Nagar",Agartala,Tripura,799001,India,,http://www.shishubihar.com/,,0,,,,,"https://www.google.com/localservices/prolist?spp=CgsvZy8xdGc2dDFuXw%3D%3D&quot;,&quot;%22Shishu+Bihar+Higher+Secondary+School%22&quot;,&quot;%22Shishu+Bihar+Higher+Secondary+School%22&quot;,%5B64,1%5D%5D&src=1",,,,,,,,,